"ProductBrand";"ProductCategory";"ProductID";"ProductName";"ProductSubcategory"
1001 и одна нужная мелочь;Бытовые товары;prd-27;Декоративный букет;Товары последней необходимости
1001 и одна нужная мелочь;Бытовые товары;prd-28;Лава-лампа;Товары последней необходимости
1001 и одна нужная мелочь;Бытовые товары;prd-29;Магниты на холодильник, 5 шт.;Товары последней необходимости
1001 и одна нужная мелочь;Бытовые товары;prd-30;Прикроватный коврик;Товары последней необходимости
Kitchen&Food;Техника для дома;prd-31;Миксер многофункциональный;Кухонная
Kitchen&Food;Техника для дома;prd-32;Блендер;Кухонная
TechBeauty;Техника для дома;prd-36;Фен портативный;Техника для красоты и здоровья
TechBeauty;Техника для дома;prd-37;Выпрямитель для волос;Техника для красоты и здоровья
БиоДом;Бытовая химия;prd-15;Раствор для мытья полов;Моющие средства
БиоДом;Бытовая химия;prd-16;Порошок для чистки плиты;Чистящие средства
БиоДом;Бытовая химия;prd-20;Средство для чистки ванны "Белее белого";Чистящие средства
Городской драйв;Бытовая химия;prd-18;Чистящее средство для автомобиля "Скорость";Чистящие средства
Городской драйв;Бытовая химия;prd-19;Порошок для чистки ковриков;Чистящие средства
Кедровый лес;Бытовые товары;prd-21;Зубной порошок;Косметика и здоровье
Кедровый лес;Бытовые товары;prd-22;Зубная паста отбеливающая;Косметика и здоровье
Кедровый лес;Бытовые товары;prd-23;Зубная паста для чувствительных десен;Косметика и здоровье
Мойдодыр;Бытовая химия;prd-14;Средство для мытья посуды с ароматом лимона;Моющие средства
Мойдодыр;Бытовая химия;prd-17;Универсальное чистящее средство "Мойдодыр";Чистящие средства
Разумный дом;Техника для дома;prd-33;Мультиварка с 40 режимами готовки еды;Кухонная
Разумный дом;Техника для дома;prd-34;Тостер;Кухонная
Разумный дом;Техника для дома;prd-35;Электрический чайник;Кухонная
Разумный дом;Техника для дома;prd-39;Весы напольные;Техника для красоты и здоровья
Разумный дом;Техника для дома;prd-40;Зубная щетка электрическая;Техника для красоты и здоровья
Ростовская фабрика;Бытовые товары;prd-26;Скатерть кухонная темно-синяя ;Кухонные товары
Фабрика комфорта;Техника для дома;prd-38;Увлажнитель воздуха;Техника для красоты и здоровья
Хлеб-соль;Бытовые товары;prd-24;Набор тарелок на 4 персоны, керамические;Кухонные товары
Хлеб-соль;Бытовые товары;prd-25;Столовые приборы на 4 персоны;Кухонные товары
Чистый дом;Бытовая химия;prd-11;Порошок для стирки вещей органический;Моющие средства
Чистый дом;Бытовая химия;prd-12;Гель для стирки белых вещей;Моющие средства
Чистый дом;Бытовая химия;prd-13;Гель для стирки цветных вещей;Моющие средства